name,category_code,status,funding_total_usd
Mashery,enterprise,acquired,34700000
Radar Networks,advertising,acquired,24000000
Idiro,software,operating,2000000
Buzzd,mobile,operating,4000000
Clickatell,messaging,operating,12000000
ConSentry Networks,network_hosting,closed,46400000
IKANO Communications,web,operating,22500000
LogLogic,security,acquired,8800000
Sipera Systems,security,operating,39730000
Dash,mobile,acquired,65000000
For Art's Sake Media,web,closed,100000
Nimble Storage,enterprise,operating,81700000
Aruba Networks,,ipo,45000003
Hall,messaging,operating,6080000
Veodia,games_video,operating,8300000
DealBase Corporation,web,operating,1000000
Cliqset,web,operating,2000000
The Solution Group,software,operating,500000
Big Fish,games_video,operating,95244796
JustFab,fashion,operating,149000000
uTest,software,operating,37800000
Metranome,mobile,closed,2000000
Innerscope Research,biotech,operating,9400000
Intrinsic Therapeutics,medical,operating,11600000
CardioKinetix,medical,operating,71000000
Streamline Alliance,other,operating,1000000
Semantra,software,closed,9100000
Notifixious,public_relations,operating,200000
Bridge Energy Group,consulting,operating,11000000
Startapp,mobile,operating,4300000
Plugaround,web,operating,93359
Alice.com,ecommerce,operating,21827665
ColorPlaza,web,acquired,2970000
Payoneer,other,operating,14000000
CasaSwap.com,web,operating,80000
Songkick,music,operating,16615000
Qpyn,mobile,closed,891177
Pathable,network_hosting,operating,314169
HomeViva,web,operating,40000
Shopatron,enterprise,operating,10000000
Gowalla,web,acquired,10400001
Wix,web,ipo,58500000
Ironroad USA,messaging,operating,1200000
DirectMoney,public_relations,closed,98000
FirstFuel Software,analytics,operating,20900000
Get.com,social,operating,1000000
JackBe,software,acquired,24500000
Ziva Software,mobile,closed,1700000
Altermune Technologies,biotech,operating,7000000
Bespoke Global,ecommerce,operating,3030712
OneRoof Energy,cleantech,operating,83000000
OnVantage,software,acquired,18000000
SalesLoft,software,operating,18000
iJukebox,music,operating,2125000
EchoSign,web,acquired,8500000
Academia.edu,social,operating,17800000
Brightstorm,games_video,operating,6000000
Unigo,education,operating,2000000
PacketTrap Networks,software,operating,5500000
BigFix,software,acquired,8400000
MarkTend,enterprise,operating,150000
DocLanding,enterprise,operating,175000
NewsWhip,news,operating,1100000
Corporama,enterprise,operating,512000
FieldSolutions,hardware,operating,1500000
Hollywood Interactive Group,web,closed,5000000
Zlio,ecommerce,closed,4000000
Buzzwire,mobile,closed,12000000
Klosetshop,ecommerce,closed,30000
Leapfrog Online,advertising,operating,30000000
Lantronix,hardware,ipo,4500000
ev-social,social,operating,40000
official.fm,music,operating,6600000
RiseSmart,enterprise,operating,12600000
Vertica Systems,software,acquired,30500000
Rollbase,enterprise,acquired,300000
neoSurgical,medical,operating,2148800
OnState,network_hosting,acquired,5500000
vivio,web,operating,250000
Yelp,search,ipo,89969340
Infinity Pharmaceuticals,biotech,operating,156040191
Exaprotect,security,acquired,7660000
Club Scene Network,games_video,closed,225000
innRoad,software,operating,12895310
CityVoter,web,operating,4180000
Trion Worlds,games_video,operating,190120000
CloudMine,enterprise,operating,1105000
Wikeez,games_video,operating,250000
World Golf Tour,sports,operating,21000000
Big Contacts,web,operating,350000
AddMyBest,ecommerce,operating,1170000
zSoup,search,operating,90000
Groupon,web,ipo,1147288416
B-Side Entertainment,games_video,closed,7350000
All-Scrap,web,operating,100000
Rally.org,nonprofit,operating,7900000
Actacell,cleantech,acquired,9800000
Heatwave Interactive,games_video,operating,12600000
Phoenix Energy Technologies,software,operating,5000000
Microstaq,hardware,operating,12500000
OneSpot,advertising,operating,11682151
iTaggit,web,closed,1300000
CoreTrace,security,acquired,16898621
GameSalad,games_video,operating,7100000
Marakana,education,acquired,200000
PicApp,web,acquired,3200000
Livra Panels,web,operating,1000000
OrderWithMe,software,operating,9000000
AgileSource,mobile,operating,75000
Predictify,advertising,closed,4300000
High-Tech Bridge,security,operating,4300000
Lifeblob,web,acquired,1000000
DreamBox Learning,education,operating,21100000
MyDealBoard.com,web,operating,102372
WeAre.Us,advertising,closed,50000
Lumenergi,cleantech,operating,26400000
Buddy,enterprise,operating,1175000
SEVEN Networks,software,operating,62000000
Cramster,web,acquired,9000000
United Dogs and Cats,web,closed,941288
Bloglovin,web,operating,1000000
BuzzStream,software,operating,74996
Right90,software,acquired,22000000
Big In Japan,mobile,operating,700000
Finsphere,mobile,operating,30700000
Wiggio,enterprise,acquired,2939581
Exajoule,hardware,operating,2500000
DuckDuckGo,search,operating,5999999
Orbel Health,health,operating,384880
Smule,music,operating,25500000
Pionetics,,operating,6400000
Solicore,other,operating,33325468
Sensicore,cleantech,acquired,12000000
HydroPoint Data Systems,analytics,operating,40094161
OQO,mobile,operating,39800000
Radio One Llama,games_video,operating,1000000
Spotplex,web,closed,450000
Pearl.com,web,operating,50700000
Unmetric,analytics,operating,8700000
Lenddo,finance,operating,14000000
Health Options Worldwide,health,operating,522000
TrialPay,advertising,operating,55800000
BitWine,mobile,operating,22500000
PCH International,hardware,operating,77000000
wesync.tv,mobile,closed,100000
Total Immersion,software,operating,11220000
Modria,legal,operating,7500000
StyleFeeder,ecommerce,acquired,3500000
Squrl,search,closed,550000
2Vancouver,ecommerce,operating,80000
Honey,enterprise,operating,1250000
Current Communications Group,web,acquired,113000000
kankan,web,operating,5000000
CollegeHumor,games_video,acquired,20000000
GeoCities,network_hosting,acquired,40000000
Stamped,mobile,acquired,3000000
Lucky Sort,analytics,acquired,500000
InstantAction,games_video,closed,50000000
Wentworth Technology,mobile,operating,3630298
Breitbart News Network,news,operating,10000000
Mobivity,mobile,operating,10917805
Momentum Bioscience,biotech,operating,357061
Radionomy,music,operating,6000000
Drivr,transportation,operating,2100000
Firetide,mobile,operating,39790000
Magnus Health,software,operating,100000
Five Cool,games_video,operating,81191
Renkoo,web,closed,9000000
Seamless North America,hospitality,operating,51000000
Yapta,travel,operating,23870000
payByMobile,ecommerce,operating,1080450
SDH Group,other,closed,915000
Lucky Pai,ecommerce,operating,40000000
MyShape,ecommerce,closed,28000000
AOptix Technologies,biotech,operating,69900000
EyeSpot,web,acquired,3700000
Kodiak Networks,mobile,operating,15000000
RVE.SOL - Solucoes de Energia Rural,cleantech,operating,459938
Intelligent Apps (mytaxi),mobile,operating,13017000
Demand Solutions Group,consulting,operating,125000
FamilyLink,web,operating,3650000
eXelate,advertising,operating,32000000
Bundle It,web,closed,450000
PlumChoice,consulting,operating,91953325
interspireSubmit,advertising,closed,500000
Informed Medical Decisions,biotech,operating,7724807
BitGravity,network_hosting,operating,2500000
TicTacTi,advertising,operating,1600000
PicketReport.com,search,operating,130000
Yuuguu,web,operating,1140000
blueKiwi,enterprise,operating,12300000
Socializr,network_hosting,acquired,2250000
One Season,games_video,closed,3750000
mnlakeplace.com,ecommerce,operating,1000000
Avaak,mobile,acquired,17000000
Savings.com,web,operating,10000000
Eurekster,web,closed,6850000
GoldMail,public_relations,operating,500000
Web and Rank,consulting,operating,300000
Inspirational Stores,ecommerce,operating,11470000
OnLive,games_video,operating,56500000
Mindjet,software,operating,15000000
Livingly Media,advertising,operating,15700000
Skinkers,software,acquired,23414268
MXP4,games_video,operating,17000000
iKlax Media,software,operating,736050
Buscatucancha.com,sports,closed,25000
Gydget,web,acquired,1000000
Reuters Real Estate,real_estate,operating,5000000
Tykoon,finance,operating,1830000
Wikets,ecommerce,operating,1500000
Koala Databank,network_hosting,closed,20000
Renmatix,cleantech,operating,75000000
PicksPal,games_video,acquired,15000000
"Innercircuit, Inc.",ecommerce,operating,500000
Filter Sensing Technologies,cleantech,operating,2000000
SimplyBox,software,operating,1300000
lynda.com,education,operating,103000000
Orange Line Media,web,closed,500000
WhatClinic.com,search,operating,4219300
Webcom,enterprise,operating,19242
Artvalue.com,ecommerce,operating,124691
Plaxica,cleantech,operating,19940193
Soup.io,web,operating,111520
Appistry,analytics,operating,50403882
YapStone,hardware,operating,50000000
Gigya,enterprise,operating,69800000
PropertyBridge,software,acquired,2000000
Synergy Hub,consulting,operating,50000
Twitter,social,ipo,1160166511
Reframe It,web,operating,3000000
Amuso,games_video,operating,1500000
Deporvillage,ecommerce,operating,507080
Sailthru,public_relations,operating,28000000
Resoomay,software,operating,35000
DormNoise,web,closed,950000
Cloudy.fr,enterprise,operating,32370
Philoptima,consulting,operating,200000
Zattoo,games_video,operating,10000000
DoesThatMakeSense.com,education,operating,250000
eriQoo,search,operating,40000000
Carma,transportation,operating,10100000
Baynote,software,operating,27750000
Songbird,mobile,closed,11015719
Poptent,photo_video,operating,8500000
Kiva Systems,hardware,acquired,11600000
Access Point,advertising,operating,4500000
bizk.it,enterprise,operating,1300000
Nexenta Systems,software,operating,49860000
Acesis,software,operating,3638201
Xtify Inc.,mobile,acquired,5686383
kooaba,mobile,operating,2920000
Apaja,games_video,operating,2524025
Zubka,,closed,3896937
Soonr,enterprise,operating,23000000
KillerStartups,web,operating,250000
SolFocus,cleantech,closed,211403000
iJento,analytics,operating,17704186
Wakoopa,web,operating,1000000
YourSports,sports,operating,1500000
PrivateFly,transportation,operating,3127273
Saset Healthcare,,operating,6250000
Trunk Archive,photo_video,operating,139051
Telecardia,semiconductor,operating,1500000
Netcontinuum,software,acquired,15000000
GridNetworks,network_hosting,closed,30000000
Guardian Analytics,security,operating,40300000
Vinfolio,ecommerce,operating,10600000
Entellium,enterprise,operating,50000000
Quigo,advertising,acquired,35000000
Nubee,games_video,operating,13000000
Britely,web,operating,3900000
GrupHediye,social,operating,1000000
Guardium,search,acquired,11800000
Sentrigo,software,acquired,9500000
ExactTarget,software,acquired,238209999
Vontoo,public_relations,closed,2192000
FORA.tv,games_video,operating,8000000
Patronpath,,operating,700000
Voxel (Internap),network_hosting,acquired,5500000
my6sense,advertising,operating,7500000
Fleck,web,closed,287033
Infima Technologies,network_hosting,closed,630000
Comeks,mobile,closed,1000000
Viximo,web,operating,5000000
Disqus,web,operating,20500000
Chloe & Isabel,ecommerce,operating,11750000
DubMeNow,mobile,closed,7516703
Lift Worldwide,web,operating,2500000
SezWho,web,acquired,1000000
Siri,software,acquired,24000000
Le Lutin rouge.com,web,operating,4950720
Peer39,advertising,acquired,29915001
bContext,mobile,operating,240000
fav.or.it,web,closed,712000
Exco inTouch,biotech,operating,4691323
mBLAST,software,operating,12914607
BidPal Network,nonprofit,operating,10785800
MSI Methylation Sciences,biotech,operating,18380250
"Advanced Catheter Therapies, Inc.",medical,operating,2980000
Authentix,security,operating,16166376
AirSense Wireless,mobile,operating,2502039
Dailybreak Media,advertising,operating,10510000
Cloudera,enterprise,operating,141000000
Vuclip,photo_video,operating,27000000
Engineering Ideas,consulting,closed,60000
SkillsTrak,enterprise,operating,640000
Replicon,enterprise,operating,20000000
ResearchGate,social,operating,35000000
Booyah,games_video,operating,59500000
AlphaClone,finance,operating,1400000
MinuteKey,hardware,operating,20600000
MX Logic,security,acquired,4000000
Websense,software,ipo,18000000
FatTail,web,operating,3500000
Qloud,games_video,acquired,600000
Coghead,web,acquired,11200000
Image Metrics,software,operating,21267558
Thismoment,enterprise,operating,34379578
Apigee,enterprise,operating,107100000
Pockets United,mobile,operating,161160
Webtab,mobile,operating,2000000
Digital Dandelion,web,closed,25000
TravelRent.com,travel,operating,2000000
iDevices,hardware,operating,850000
Vitrue,enterprise,acquired,33000000
"Wildfire, a division of Google",enterprise,acquired,14100000
FanSnap,web,operating,15700000
Ondango,social,operating,1170000
SolarCity,cleantech,ipo,789039992
Embotics,software,operating,12400000
GotGame,games_video,operating,1000000
Pantheon,enterprise,operating,11300009
Pelago,mobile,acquired,22400000
Kuponjo,advertising,closed,167600
Biz360,web,acquired,13800000
BestContractors.com,web,acquired,3450000
The Game Creators,games_video,operating,25000
Karo Internet,games_video,closed,1204795
Shangby,ecommerce,operating,1000000
Railsware,software,operating,60000
BlackStratus,software,operating,1500150
Salorix,advertising,operating,3500000
Kaixin001,network_hosting,operating,124000000
Akimbo,games_video,closed,35700000
Ukash,web,operating,14400000
Formspring,web,operating,14255000
ReverbNation,software,operating,5000000
Real Girls Media Network,software,acquired,6000000
For Your Imagination,games_video,closed,1300000
WhiteWilly,web,operating,46000
Code42,software,operating,52500000
Cycell,mobile,operating,2535759
VeruTEK Technologies,cleantech,operating,3469500
AdECN,advertising,acquired,3100000
Screen Tonic,mobile,acquired,6833750
Wishabi,ecommerce,operating,16000000
Vringo,software,ipo,36982000
SimpleReach,advertising,operating,3100000
Zooomr,web,closed,50000
Plazes,web,acquired,4695100
SureSpeak,games_video,operating,1600000
CarZen,web,acquired,350000
Faves,web,closed,1500000
Curbed Network,web,acquired,1500000
CTI Towers,public_relations,operating,30000000
C4M,mobile,operating,3587250
Cernium,software,operating,17500000
NetSocket,network_hosting,operating,21657412
Rebel Monkey,web,operating,1000000
Syndiant,semiconductor,operating,26185935
mDialog,advertising,operating,8150000
Softricity,software,acquired,15000000
Whale Communications,software,acquired,15000000
isocket,advertising,operating,10104119
SideStep,web,acquired,32000000
HiveLive,enterprise,acquired,8950000
Movidius,semiconductor,operating,46500000
Transmedia Corporation,software,operating,6500000
Pumant,software,closed,1200000
Kirusa,public_relations,operating,26830000
NuFlick,games_video,operating,70000
Nexaweb Technologies,software,operating,14603757
Screaming Sports,network_hosting,operating,1250000
Goodmail Systems,security,closed,45000000
ClickShift,software,acquired,6000000
Emotive Communications,enterprise,operating,13950000
Games2Win,games_video,acquired,13000000
Laszlo Systems,messaging,acquired,37490000
Sophia Search,search,operating,4900000
ixigo,travel,operating,18500000
semanticlabs,software,operating,2073280
Profit Point,software,operating,2500000
Dukky,analytics,operating,1000000
Suksh Tech.,software,operating,1500000
Bluebell Telecom,network_hosting,operating,6124490
Wengo,ecommerce,operating,8775600
maufait,mobile,closed,25000
Evi,search,operating,5190129
Trusteer,security,acquired,10100000
ShopAdvisor,advertising,operating,6950000
A10 Networks,network_hosting,operating,118000000
GotCast,games_video,operating,50000
PictureMe Universe,photo_video,operating,5000
Blue Box,enterprise,operating,5800000
Genmedica Therapeutics,biotech,operating,19464900
Phoenix Health and Safety,consulting,operating,397307
Euroling,search,operating,1020966
Yedda,web,acquired,2500000
Tidalwave Trader,web,closed,200000
Virtual Telephone & Telegraph,enterprise,closed,3500000
BrightRoll,advertising,operating,46000000
XE Corporation,mobile,operating,500000
Orgger,web,closed,150000
MeetDoctor,health,operating,380000
Farecast,search,acquired,20600000
Casero,web,acquired,13300000
Bright Things,games_video,operating,800000
SocialGO,social,operating,3000000
MOBi-LEARN,mobile,operating,117059
Pops,mobile,operating,1500000
TuneIn,games_video,operating,47500000
Seventymm,ecommerce,operating,1800000
MerchantCircle,web,acquired,14300000
TasteSpace,web,closed,300000
Abiquo,enterprise,operating,25560400
BrightScope,finance,operating,5900000
uberVU,web,operating,585745
Minekey,web,closed,3600000
Deskom,enterprise,acquired,4156680
MoBeam,mobile,operating,12470844
Compete,consulting,acquired,33000000
Fusion Sheep,software,operating,213900
TeeBeeDee,web,closed,4800000
StatSheet,sports,operating,5300000
Ozone Media Solutions,web,operating,4000000
RepairPal,web,operating,21300000
Star Fever Agency,games_video,closed,550000
Crescendo Networks,network_hosting,acquired,24500000
8tracks Radio,music,operating,1200000
Diffbot,analytics,operating,2000000
Dailymotion,news,acquired,68500000
Zoopla,real_estate,operating,10445659
Wander,web,operating,1200000
Model Metrics,enterprise,acquired,2500000
Vox Media,news,operating,61132220
Netviewer,software,acquired,23980000
Booking Angel,web,closed,100000
Doppelganger,web,closed,11000000
Yoolink,enterprise,operating,779850
Xignite,finance,operating,12875000
RadarFind,mobile,operating,2000000
Brickfish,software,acquired,940261
Loylty Rewardz Management,advertising,operating,4400000
Zmags,software,operating,20849997
RisparmioSuper,ecommerce,operating,1154812
Inspiration Biopharmaceuticals,biotech,operating,247640946
Asure Software,software,ipo,3200000
Dipity,web,operating,900000
Awdio,games_video,operating,1955250
StumbleUpon,web,acquired,18500000
KickApps,enterprise,acquired,39007789
DogTime Media,web,operating,1000000
Newmerix,software,closed,7000000
StreetFire,web,acquired,7900000
Squarespace,web,operating,38500000
Glow Digital Media,advertising,operating,1300000
Azuki Systems,enterprise,operating,28100000
LucidLogix Technologies,software,operating,40000000
Turn,advertising,operating,61123499
DocVerse,web,acquired,1300000
Qoof,ecommerce,closed,1700000
Needium,enterprise,closed,1000000
Infindo Technology Sdn Bhd,mobile,operating,1100000
Parking Panda,transportation,operating,4725000
ObserveIT,security,operating,20000000
TrackVia,software,operating,9021221
SOASTA,enterprise,operating,63614000
Return Path,messaging,operating,51799963
Palringo,messaging,operating,10278515
Loopt,mobile,acquired,32006000
Couchsurfing,travel,operating,22600000
RockYou,games_video,operating,136465336
Yipit,web,operating,7550000
Next Jump,ecommerce,operating,45000000
VideoPros,consulting,operating,1000000
Open-Xchange,software,operating,37800000
Virgance,web,operating,750000
One Block Off the Grid (1BOG),cleantech,acquired,5000000
LiveBuzz,mobile,closed,50000
Cheezburger,news,operating,69000000
Fix8,games_video,operating,5000000
XillianTV,web,operating,800000
SCL Elements,mobile,operating,2150000
Salespush.com,enterprise,closed,290000
MyLifeBrand,web,closed,750000
Feedbooks,web,operating,843242
Tower Cloud,enterprise,operating,109046753
Adapt,enterprise,operating,46168126
K1 Speed,games_video,operating,6600000
CV Ingenuity,medical,closed,30926154
Interrad Medical,medical,operating,11500000
Reply! Inc.,advertising,operating,83511402
Profyle,mobile,operating,350000
mangofizz jobs,web,closed,300000
Bridgeline Digital,software,ipo,7554000
Trovix,search,acquired,18250000
NFi Studios,advertising,acquired,350000
TotalTakeout,web,operating,150000
authorSTREAM.com,web,operating,5000000
PivotLink,software,operating,45585068
WangYou,web,closed,11120000
eCourier.co.uk,web,operating,15071352
MyBuys,advertising,operating,38300000
Citizenside,games_video,acquired,1534376
Last.fm,music,acquired,5000000
Adteractive,advertising,operating,5100000
Spotlight,mobile,operating,1858876
Auditude,advertising,acquired,47500000
JamLegend,games_video,acquired,2000000
Podaddies,advertising,operating,1000000
navabi,fashion,operating,16480250
Centro,advertising,operating,22500000
Clearwire,mobile,acquired,5700000000
Send Word Now,public_relations,operating,33000000
Piano Media,news,operating,2618600
Sonian,enterprise,operating,36200000
First Solar,cleantech,ipo,427700000
QWiPS,social,operating,1250000
Selectable Media,advertising,operating,4570000
BlackArrow,advertising,operating,59763076
